canonical,normalized
muito,muito
estou,estou
vamos,vamos
minha,minha
então,entao
agora,agora
fazer,fazer
tenho,tenho
certo,certo
disse,disse
quero,quero
dizer,dizer
posso,posso
sobre,sobre
mesmo,mesmo
coisa,coisa
tempo,tempo
assim,assim
nunca,nunca
ainda,ainda
favor,favor
noite,noite
ficar,ficar
claro,claro
falar,falar
antes,antes
homem,homem
lugar,lugar
estar,estar
mundo,mundo
saber,saber
nossa,nossa
outro,outro
filho,filho
menos,menos
algum,algum
ótimo,otimo
carro,carro
amigo,amigo
sério,serio
parte,parte
feliz,feliz
atrás,atras
tarde,tarde
pegar,pegar
gente,gente
desde,desde
tanto,tanto
legal,legal
jeito,jeito
irmão,irmao
quase,quase
forma,forma
matar,matar
perto,perto
ajuda,ajuda
manhã,manha
sorte,sorte
morte,morte
papai,papai
levar,levar
filha,filha
morto,morto
porta,porta
ouvir,ouvir
razão,razao
ideia,ideia
parar,parar
corpo,corpo
chefe,chefe
poder,poder
mamãe,mamae
conta,conta
longe,longe
terra,terra
droga,droga
ontem,ontem
causa,causa
velho,velho
festa,festa
tirar,tirar
comer,comer
cinco,cinco
tomar,tomar
culpa,culpa
forte,forte
viver,viver
único,unico
mudar,mudar
pagar,pagar
plano,plano
achar,achar
jovem,jovem
calma,calma
filme,filme
pedir,pedir
louco,louco
ligar,ligar
baixo,baixo
jogar,jogar
livro,livro
resto,resto
casar,casar
amiga,amiga
livre,livre
sinal,sinal
grupo,grupo
andar,andar
rosto,rosto
preso,preso
linha,linha
idade,idade
crime,crime
local,local
lindo,lindo
rapaz,rapaz
campo,campo
lista,lista
sonho,sonho
beber,beber
ordem,ordem
hotel,hotel
caixa,caixa
abrir,abrir
monte,monte
banco,banco
fundo,fundo
lutar,lutar
carta,carta
papel,papel
capaz,capaz
prova,prova
barco,barco
tocar,tocar
breve,breve
chave,chave
haver,haver
roupa,roupa
pobre,pobre
vista,vista
padre,padre
época,epoca
carne,carne
cheio,cheio
fugir,fugir
teste,teste
saúde,saude
junto,junto
passo,passo
longo,longo
igual,igual
bater,bater
ambos,ambos
lidar,lidar
clube,clube
justo,justo
corte,corte
vinho,vinho
saída,saida
comum,comum
verão,verao
raiva,raiva
série,serie
banho,banho
bolsa,bolsa
bomba,bomba
preço,preco
nível,nivel
pista,pista
rádio,radio
dança,danca
braço,braco
líder,lider
criar,criar
risco,risco
piada,piada
subir,subir
acima,acima
busca,busca
visão,visao
vídeo,video
praia,praia
navio,navio
limpo,limpo
bravo,bravo
pedra,pedra
peixe,peixe
virar,virar
perna,perna
beijo,beijo
troca,troca
apoio,apoio
banda,banda
valor,valor
leite,leite
marca,marca
dever,dever
vento,vento
briga,briga
palco,palco
ponte,ponte
noiva,noiva
obter,obter
perda,perda
calor,calor
morar,morar
porco,porco
enfim,enfim
fonte,fonte
firme,firme
casal,casal
chuva,chuva
baile,baile
aviso,aviso
grana,grana
roubo,roubo
lance,lance
primo,primo
peito,peito
humor,humor
curso,curso
lição,licao
exato,exato
falso,falso
posto,posto
venda,venda
golpe,golpe
reino,reino
canto,canto
óbvio,obvio
prato,prato
vinte,vinte
vazio,vazio
opção,opcao
gênio,genio
exame,exame
chato,chato
fraco,fraco
mexer,mexer
porém,porem
queda,queda
corda,corda
bolso,bolso
lavar,lavar
motor,motor
folga,folga
grave,grave
massa,massa
regra,regra
mover,mover
torre,torre
fumar,fumar
placa,placa
conto,conto
calmo,calmo
carga,carga
bruxa,bruxa
cruel,cruel
areia,areia
senso,senso
cofre,cofre
canal,canal
sexta,sexta
tribo,tribo
vidro,vidro
gordo,gordo
salão,salao
cópia,copia
noivo,noivo
torta,torta
pulso,pulso
pular,pular
cobra,cobra
nação,nacao
crise,crise
molho,molho
metal,metal
burro,burro
terno,terno
médio,medio
nadar,nadar
curto,curto
votar,votar
clima,clima
ganho,ganho
ritmo,ritmo
aliás,alias
museu,museu
falha,falha
febre,febre
união,uniao
moral,moral
russo,russo
ponta,ponta
porto,porto
piano,piano
lenda,lenda
ficha,ficha
doido,doido
coroa,coroa
valer,valer
turno,turno
civil,civil
cargo,cargo
túnel,tunel
barba,barba
ombro,ombro
turma,turma
atual,atual
prata,prata
durar,durar
caçar,cacar
calar,calar
nobre,nobre
puxar,puxar
moeda,moeda
letra,letra
calça,calca
seção,secao
tinta,tinta
frota,frota
prazo,prazo
frase,frase
pausa,pausa
creme,creme
cinto,cinto
tênis,tenis
curar,curar
salto,salto
duplo,duplo
conde,conde
média,media
dente,dente
arroz,arroz
atriz,atriz
negar,negar
drama,drama
prima,prima
sabor,sabor
suave,suave
julho,julho
folha,folha
grama,grama
dobro,dobro
álibi,alibi
circo,circo
rocha,rocha
ideal,ideal
mídia,midia
custo,custo
rezar,rezar
setor,setor
grato,grato
selva,selva
odiar,odiar
solto,solto
junho,junho
posse,posse
abril,abril
firma,firma
parto,parto
senha,senha
dólar,dolar
couro,couro
deter,deter
pasta,pasta
viúva,viuva
barra,barra
trono,trono
notar,notar
álbum,album
termo,termo
ferir,ferir
turnê,turne
feira,feira
loira,loira
tigre,tigre
lento,lento
juízo,juizo
milho,milho
traje,traje
vinda,vinda
ídolo,idolo
aluno,aluno
dúzia,duzia
terça,terca
dieta,dieta
radar,radar
beira,beira
macho,macho
surra,surra
rolar,rolar
deusa,deusa
texto,texto
lucro,lucro
chute,chute
bloco,bloco
poema,poema
nuvem,nuvem
praga,praga
